COLOR KEY:,,Ready for Issuance,,,,FEB,MARCH,APRIL,,ATFS TOPLINE PLC,FEB,MAR,APR,,,,,,,,,,,,
,,Sourcing,,,100 dy,8/2/23,8/23/23,9/27/23,,IN STORE DATE (7 dys pre Ex),1/8/24,1/29/24,3/4/24,,,,,,,,,,,,
,,Canceled,,,85 dy,8/17/23,9/7/23,10/12/23,,EARLY ACCESS DATE-ISD- 28 dys pre REG ISD,12/18/23,1/8/24,2/12/24,,,,,,,,,,,,
,,PO issued,,,65 dy,9/6/23,9/27/23,11/1/23,,,,,,,,,,,,,,,,,
,,Waiting on SB,,,,,,,,,,,,,,,,,,,,,,,
,,Merchant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE ADDED,PROGRAM ,DEPARTMENT,SIZE TYPE,CHANNEL,STYLE NO,STYLE DESC.,COLOR #,COLOR DESC.,STORESET,IS DATE,ORDER QTY,RETAIL,SIZE PROFILE,BBR OFFER ,AC DATE,BBR LUC,BBR SUC,BBR TRANS MODE,MATCHED Y/N,PO COORDINATOR COMMENTS,MERCHANT COMMENTS,SOURCING COMMENTS,ACTION NEEDED,PO NUMBER,Due Date
,,M Pants,MISSY,Stores,862573,Curvy Mid Rise Girlfriend Denim With Rolled Hem-MISSY,9513,Dark Indigo Wash,2024-FEB BOM,1/8/24,793,$89.99 ,601_Missy_Numeric,196008-FINAL 7/27 FLOW,10/25/23,$14.52 ,$10.24 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862573,Curvy Mid Rise Girlfriend Denim With Rolled Hem-MISSY,9513,Dark Indigo Wash,2024-MAR BOM,1/29/24,348,$89.99 ,601_Missy_Numeric,196008-FINAL 7/27 FLOW,11/15/23,$14.52 ,$10.24 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862573,Curvy Mid Rise Girlfriend Denim With Rolled Hem-MISSY,9513,Dark Indigo Wash,2024-APR BOM,3/4/24,68,$89.99 ,601_Missy_Numeric,196008-FINAL 7/27 FLOW,12/20/23,$14.52 ,$10.24 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862584,Mid Rise Girlfriend Denim With Rolled Hem-MISSY,9513,Dark Indigo Wash,2024-APR BOM,3/4/24,28,$89.99 ,601_Missy_Numeric,195124-FINAL 7/7 FLOW,12/20/23,$13.93 ,$9.80 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862584,Mid Rise Girlfriend Denim With Rolled Hem-MISSY,9513,Dark Indigo Wash,2024-FEB BOM,1/8/24,833,$89.99 ,601_Missy_Numeric,195124-FINAL 7/7 FLOW,10/25/23,$13.93 ,$9.80 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862584,Mid Rise Girlfriend Denim With Rolled Hem-MISSY,9513,Dark Indigo Wash,2024-MAR BOM,1/29/24,398,$89.99 ,601_Missy_Numeric,195124-FINAL 7/7 FLOW,11/15/23,$13.93 ,$9.80 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862608,Curvy Mid Rise Slim Straight Denim With Clean Hem-MISSY,9016,Whitecap,2024-FEB BOM,1/8/24,"1,329",$89.99 ,601_Missy_Numeric,196020-FINAL 7/14 CURVY,10/25/23,$15.91 ,$11.30 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,M Pants,MISSY,Stores,862705,Mid Rise Slim Straight Denim With Clean Hem-MISSY,9016,Whitecap,2024-FEB BOM,1/8/24,"1,454",$89.99 ,601_Missy_Numeric,195125-FINAL 7/10 FLOW,10/25/23,$15.19 ,$10.75 ,SEA,Y,,BB 7/28 ready for match,,Ready for Issuance,,
,,P Pants,PETITE,Stores,863015,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-PETITE,3303,Light Indigo Wash,2024-APR BOM,3/4/24,320,$89.99 ,604_Petite_Numeric,196012-FINAL 7/25 PETITE,12/20/23,$14.14 ,$9.95 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,P Pants,PETITE,Stores,863015,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-PETITE,3303,Light Indigo Wash,2024-MAR BOM,1/29/24,"1,458",$89.99 ,604_Petite_Numeric,196012-FINAL 7/25 PETITE,11/15/23,$14.14 ,$9.95 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,863100,Curvy Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,3303,Light Indigo Wash,2024-APR BOM,3/4/24,377,$89.99 ,601_Missy_Numeric,196011-FINAL 7/25 CURVY,12/20/23,$14.96 ,$10.58 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,863100,Curvy Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,3303,Light Indigo Wash,2024-MAR BOM,1/29/24,"1,538",$89.99 ,601_Missy_Numeric,196011-FINAL 7/25 CURVY,11/15/23,$14.96 ,$10.58 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,863168,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,3303,Light Indigo Wash,2024-MAR BOM,1/8/24,117,$89.99 ,601_Missy_Numeric,201946-FINAL 7/25 PREVIEW,12/18/23,$21.36 ,$10.18 ,AIR,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,863168,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,3303,Light Indigo Wash,2024-MAR BOM,1/29/24,"1,435",$89.99 ,601_Missy_Numeric,195123-FINAL 7/13 AS LR,11/15/23,$14.45 ,$10.18 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,863168,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,3303,Light Indigo Wash,2024-APR BOM,3/4/24,448,$89.99 ,601_Missy_Numeric,195123-FINAL 7/13 AS LR,12/20/23,$14.45 ,$10.18 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,P Pants,PETITE,Stores,863196,Mid Rise Girlfriend Denim With Rolled Hem - White-PETITE,9000,White,2024-MAR BOM,1/29/24,"1,364",$89.99 ,604_Petite_Numeric,196014-FINAL 7/27 PETITE,11/15/23,$13.63 ,$9.56 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,P Pants,PETITE,Stores,863196,Mid Rise Girlfriend Denim With Rolled Hem - White-PETITE,9000,White,2024-APR BOM,3/4/24,559,$89.99 ,604_Petite_Numeric,196014-FINAL 7/27 PETITE,12/20/23,$13.63 ,$9.56 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
