Request No,Brand,Season,Dept,Size Type,Channel,Style No,Style Name,Artwork/Color No/Name,In Store Date,Qty,Retail Price,Store Set,Size Range,Offer Description,AC Date,LUC,SUC,Trans Mode,Unit Status,DC Date,PO,Store Set Date,Status,Material Supplier Art #,Material COO,Style Fiber Content,Finished Weight,Material Cost,Yield,Yield UOM,Sub Dept,Freight Product Category,Product Type,Modified By,Last Published Date,Agent,Vendor,Factory,Style Name,Trim Cost,Fabric Financing Fee,Duty Savings Program,Est Duty Amt,HTS No,Quota Category,Fabric Financing Fee,Offer No,IMU%,Vendor Comments,PO Status
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,002222-BLACK,01/08/2024,821,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,14.52,9.63,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,006678-LIGHT FROST,01/08/2024,"1,481",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,14.52,9.63,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,007160-SMOOTH SAND,01/08/2024,"1,538",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,14.52,9.63,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,009036-INDUSTRIAL NAVY,01/08/2024,831,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,14.52,9.63,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,002222-BLACK,01/29/2024,739,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,14.52,9.63,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,006678-LIGHT FROST,01/29/2024,633,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,14.52,9.63,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,007160-SMOOTH SAND,01/29/2024,683,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,14.52,9.63,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,009036-INDUSTRIAL NAVY,01/29/2024,834,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,14.52,9.63,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,002222-BLACK,03/04/2024,"1,267",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,14.52,9.63,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,006678-LIGHT FROST,03/04/2024,790,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,14.52,9.63,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,007160-SMOOTH SAND,03/04/2024,658,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,14.52,9.63,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139645,ATF,SPRING 2024,526 M PANTS,MISSY,US STORES,612756,24 STRAIGHT,009036-INDUSTRIAL NAVY,03/04/2024,803,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,14.52,9.63,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.300000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 STRAIGHT,1.06,0.19,MP,2.34,6204639011,648,0.19,193042,85.33,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,002222-BLACK,01/08/2024,766,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,15.27,10.16,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,006678-LIGHT FROST,01/08/2024,"1,400",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,15.27,10.16,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,007160-SMOOTH SAND,01/08/2024,"1,333",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,15.27,10.16,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,009036-INDUSTRIAL NAVY,01/08/2024,"1,429",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,10/25/2023,15.27,10.16,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,002222-BLACK,01/29/2024,641,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,15.27,10.16,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,006678-LIGHT FROST,01/29/2024,493,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,15.27,10.16,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,007160-SMOOTH SAND,01/29/2024,515,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,15.27,10.16,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,009036-INDUSTRIAL NAVY,01/29/2024,845,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,11/15/2023,15.27,10.16,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,002222-BLACK,03/04/2024,"1,366",98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,15.27,10.16,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,006678-LIGHT FROST,03/04/2024,739,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,15.27,10.16,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,007160-SMOOTH SAND,03/04/2024,432,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,15.27,10.16,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ139647,ATF,SPRING 2024,526 M PANTS,CURVY MISSY,US STORES,612760,24 CURVY STRAIGHT,009036-INDUSTRIAL NAVY,03/04/2024,887,98.99,QTR1,601_MISSY_NUMERIC,6/27-FABRIC FOB$3.46,12/20/2023,15.27,10.16,OCEAN,IR,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.420000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-10 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY STRAIGHT,1.06,0.21,MP,2.47,6204639011,648,0.21,193044,84.57,,
HQ141713,ATF,SPRING 2024,527 P PANTS,CURVY PETITE,US STORES,614703,24 CURVY PETITE STRAIGHT,002222-BLACK,01/08/2024,957,98.99,SB1,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,10/25/2023,14.94,9.93,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.380000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY PETITE STRAIGHT,0.74,0.20,MP,2.41,6204639011,648,0.20,195911,84.91,,
HQ141713,ATF,SPRING 2024,527 P PANTS,CURVY PETITE,US STORES,614703,24 CURVY PETITE STRAIGHT,002222-BLACK,01/29/2024,377,98.99,SB1,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,11/15/2023,14.94,9.93,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.380000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY PETITE STRAIGHT,0.74,0.20,MP,2.41,6204639011,648,0.20,195911,84.91,,
HQ141713,ATF,SPRING 2024,527 P PANTS,CURVY PETITE,US STORES,614703,24 CURVY PETITE STRAIGHT,002222-BLACK,03/04/2024,518,98.99,SB1,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,12/20/2023,14.94,9.93,OCEAN,FC,02/26/2024,,03/04/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.380000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 CURVY PETITE STRAIGHT,0.74,0.20,MP,2.41,6204639011,648,0.20,195911,84.91,,
HQ141712,ATF,SPRING 2024,527 P PANTS,PETITE,US STORES,614709,24 PETITE STRAIGHT,002222-BLACK,01/08/2024,903,98.99,SB2,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,10/25/2023,14.35,9.51,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.270000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 PETITE STRAIGHT,1.06,0.18,MP,2.31,6204639011,,0.18,195912,85.50,,
HQ141712,ATF,SPRING 2024,527 P PANTS,PETITE,US STORES,614709,24 PETITE STRAIGHT,006678-LIGHT FROST,01/08/2024,"1,474",98.99,SB2,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,10/25/2023,14.35,9.51,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.270000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 PETITE STRAIGHT,1.06,0.18,MP,2.31,6204639011,,0.18,195912,85.50,,
HQ141712,ATF,SPRING 2024,527 P PANTS,PETITE,US STORES,614709,24 PETITE STRAIGHT,009036-INDUSTRIAL NAVY,01/08/2024,"1,421",98.99,SB2,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,10/25/2023,14.35,9.51,OCEAN,FC,01/01/2024,,01/08/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.270000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 PETITE STRAIGHT,1.06,0.18,MP,2.31,6204639011,,0.18,195912,85.50,,
HQ141712,ATF,SPRING 2024,527 P PANTS,PETITE,US STORES,614709,24 PETITE STRAIGHT,002222-BLACK,01/29/2024,645,98.99,SB2,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,11/15/2023,14.35,9.51,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.270000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 PETITE STRAIGHT,1.06,0.18,MP,2.31,6204639011,,0.18,195912,85.50,,
HQ141712,ATF,SPRING 2024,527 P PANTS,PETITE,US STORES,614709,24 PETITE STRAIGHT,006678-LIGHT FROST,01/29/2024,473,98.99,SB2,604_PETITE_NUMERIC,7/11 FABRIC FOB$3.46,11/15/2023,14.35,9.51,OCEAN,FC,01/22/2024,,01/29/2024,ADOPTED,OKR0T9537X,CHINA,"63.00% POLYESTER
4.00% SPANDEX
33.00% RAYON",340.00,3.61,1.270000,,,PANTS (NON-DENIM)-MEDIUM WEIGH,,K6860449,2023-07-11 00:00:00.0,"MGF SOURCING US, LLC","TAINAN ENTERPRISES CO., LTD",PT ANDALAN MANDIRI BUSANA,24 PETITE STRAIGHT,1.06,0.18,MP,2.31,6204639011,,0.18,195912,85.50,,
