Style No,Channel,Style Name,_merge,fuzzy_match
862573,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem-MISSY,left_only,False
862573,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem-MISSY,left_only,False
862573,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem-MISSY,left_only,False
862584,US STORES,Mid Rise Girlfriend Denim With Rolled Hem-MISSY,left_only,False
862584,US STORES,Mid Rise Girlfriend Denim With Rolled Hem-MISSY,left_only,False
862584,US STORES,Mid Rise Girlfriend Denim With Rolled Hem-MISSY,left_only,False
862608,US STORES,Curvy Mid Rise Slim Straight Denim With Clean Hem-MISSY,left_only,False
862705,US STORES,Mid Rise Slim Straight Denim With Clean Hem-MISSY,left_only,False
863015,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-PETITE,left_only,False
863015,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-PETITE,left_only,False
863100,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,left_only,False
863100,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,left_only,False
863168,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,left_only,False
863168,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,left_only,False
863168,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - Light Wash-MISSY,left_only,False
863196,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - White-PETITE,left_only,False
863196,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - White-PETITE,left_only,False
863264,US STORES,High Rise Bootcut Denim With Clean Hem-PETITE,left_only,False
863264,US STORES,High Rise Bootcut Denim With Clean Hem-PETITE,left_only,False
864696,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,left_only,False
864696,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,left_only,False
864696,US STORES,Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,left_only,False
871236,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,left_only,False
871236,US STORES,Curvy Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,left_only,False
871266,US STORES,Curvy High Rise Bootcut Denim With Clean Hem-MISSY,left_only,False
871266,US STORES,Curvy High Rise Bootcut Denim With Clean Hem-MISSY,left_only,False
871268,US STORES,High Rise Bootcut Denim With Clean Hem-MISSY,left_only,False
871268,US STORES,High Rise Bootcut Denim With Clean Hem-MISSY,left_only,False
871268,US STORES,High Rise Bootcut Denim With Clean Hem-MISSY,left_only,False
